,.I,.T,.A,.W,.B
0,1.0,preliminari report intern algebra languag,perlis  samelson k ,,1958-12-01
1,2.0,extract root repeat subtract digit comput,sugai ,,1958-12-01
2,3.0,techniqu depart matrix program scheme,friedman ,,1958-12-01
3,4.0,glossari comput engin program terminolog,,,1958-11-01
4,5.0,two squar root approxim,wadey ,,1958-11-01
5,6.0,use comput inspect procedur,muller ,,1958-11-01
6,7.0,glossari comput engin program terminolog,,,1958-10-01
7,8.0,equival transform program scheme,friedman ,,1958-10-01
8,9.0,propos uncol,conway ,,1958-10-01
9,10.0,glossari comput engin program terminolog,,,1958-09-01
10,11.0,problem program commun chang machin propos solut part two,strong  wegstein  tritter  olsztyn  mock  steel ,,1958-09-01
11,12.0,error estim rung kutta procedur,call  reeves ,,1958-09-01
12,13.0,glossari comput engin program terminolog,,,1958-08-01
13,14.0,problem program commun chang machin propos solut part one,strong  wegstein  tritter  olsztyn  mock  steel ,,1958-08-01
14,15.0,recurs curv fit techniqu,giblin ,,1958-08-01
15,16.0,secant modif newton method,jeeves ,,1958-08-01
16,17.0,program arithmet oper,ershov ,,1958-08-01
17,18.0,simpl automat code system,adams  schlesinger ,,1958-07-01
18,19.0,glossari comput engin program terminolog,,,1958-06-01
19,20.0,acceler converg iter process,wegstein ,techniqu discus appli procedur solut equat acceler rate induc converg iter diverg illustr exampl give,1958-06-01
20,21.0,algebra formul flow diagram,voorhees ,,1958-06-01
21,22.0,unusu applic depart automat implement comput logic,morris  wohr ,,1958-05-01
22,23.0,binari truth function oper decim comput extract command,kautz ,,1958-05-01
23,24.0,improv decim redund check,sisson ,,1958-05-01
24,25.0,gener purpos program system,holt ,,1958-05-01
25,26.0,subroutin method calcul logarithm,bemer ,,1958-05-01
26,27.0,note empir bound gener bessel function,randels  reeves ,,1958-05-01
27,28.0,request method program,corley ,,1958-04-01
28,29.0,need algorithm,selden ,,1958-04-01
29,30.0,algorithm analyz logic statement produc truth function tabl,wolpe ,,1958-03-01
30,31.0,ibm seven hundr four code nundrum,grumette ,,1958-03-01
31,32.0,variabl width tabl binari search facil,halpern ,,1958-02-01
32,33.0,program binari counter ibm type six hundr fifti calcul,kenny  hunter ,,1958-01-01
33,34.0,tabl automat comput,wilf ,,1958-01-01
34,35.0,machin method squar root comput,bemer ,,1958-01-01
35,36.0,queue network simul ibm six hundr fifti burrough two hundr twenti,conway  johnson  maxwell ,,1959-12-01
36,37.0,impact comput develop,humphrey ,,1959-12-01
37,38.0,propos interpret algol,irons  acton ,,1959-12-01
38,39.0,secant method simultan nonlinear equat,wolfe ,procedur simultan solut system necessarili linear equat gener secant method singl function one variabl give,1959-12-01
39,40.0,finger fist choic decim binari represent,buchholz ,number system offer mani advantag represent high perform gener purpos comput great simplic arithmet unit great compact number contribut directli arithmet speed less obviou perhap import way address instruct format increas overal perform address also essenti certain power oper practic instruct format hand number essenti commun man comput applic requir process larg volum inher input output data time convers need pure comput may signific slow adder may take less time fast adder addit two convers care review signific decim binari address binari decim data arithmet supplement effici convers instruct,1959-12-01
40,41.0,note comput research eastern europ,nadler ,,1959-12-01
41,42.0,new method comput squar root without use divis,sarafyan ,,1959-11-01
42,43.0,techniqu handl macro instruct,greenwald ,,1959-11-01
43,44.0,runcibl algebra translat limit comput,knuth ,,1959-11-01
44,45.0,flow outlin substitut flow chart,gant ,,1959-11-01
45,46.0,multiprogram stretch feasibl consider,codd  lowry  mcdonough  scalzi ,tendenc toward increas comput note exploit parallel present number new machin design minimum success concurr execut sever independ discus requir meet stretch care balanc combin build techniqu describ place burden logic system supervisori compil rather problem program,1959-11-01
46,47.0,russian visit u comput,zaitzeff  astrahan ,,1959-11-01
47,48.0,shift regist code index applic,nadler  sengupta ,commun use shift regist n ten describ call sixti four wireless telemet fix cyclic order high degre redund use permit singl error correct minimum distanc three sixti four ten bit word employ identif embed shift regist period one thousand twenti three permit employ without punctuat telemet station receiv simpli put receiv one zero shift regist time give code combin aris identifi particular station bar tuitou error combin low probabl call commun describ properti applic code detail find particular exampl employ ural soviet build drum comput donat indian statist institut unit nation technic aid administr untaa,1959-10-01
48,49.0,scientif busi applic oracl curv plotter b,fike ,,1959-10-01
49,50.0,statist program ibm six hundr fifti part ii,hamblen ,,1959-10-01
50,51.0,construct micro flowchart,gorn  ingerman  crozier ,,1959-10-01
51,52.0,effici method gener uniformli distribut point surfac n dimension sphere corrigendum,cook ,,1959-10-01
52,53.0,recommend share algol committe,,,1959-10-01
53,54.0,sale simpl algebra languag engin,brittenham  clark  kuss  thompson  smith ,,1959-10-01
54,55.0,algebra translat,kaner ,,1959-10-01
55,56.0,propos standard flow chart symbol,,,1959-10-01
56,57.0,j e comput center,,,1959-10-01
57,58.0,lem one small size gener purpos digit comput use magnet ferrit element,machmudov ,paper examin question construct gener purpos digit comput use contactless magnet ferrit dezu long durat capacit memori element develop laboratori electr model vinityi sssr supervis professor l gutenmach,1959-10-01
58,59.0,survey progress trend develop use automat data process busi manag control system feder govern decemb one thousand nine hundr fifti seven iii,,,1959-09-01
59,60.0,alpha vector transform system linear constraint,wersan ,,1959-09-01
60,61.0,ibm seven hundr nine tape matrix compil,hornick ,,1959-09-01
61,62.0,multi dimension least squar polynomi curv fit,lesh ,,1959-09-01
62,63.0,octal diagram binari concept applic comput design logic,li ,paper date back genesi concept circa five four thousand eight hundr year ago deriv chine ancient analyz applic binari triniti octal diagram modern electron digit comput design logic,1959-09-01
63,64.0,remark algol symbol manipul,green ,,1959-09-01
64,65.0,algol sub committe report extens,dijkstra  heise  perlis  samelson ,,1959-09-01
65,66.0,propos gener card code two hundr fifti six charact,bemer ,,1959-09-01
66,67.0,central european comput,blachman ,,1959-09-01
67,68.0,role univers comput data process relat field,fein ,studi make unit state data process oper close field polici organ administr faculti student research curriculum equip financ investig integr program reflect convict mani present activ relat develop disciplin legitim provinc univers scholar detail recommend graduat school comput scienc give,1959-09-01
68,69.0,statist program ibm six hundr fifti part,hamblen ,collect give brief descript statist program use univers comput center ibm six hundr fifti,1959-08-01
69,70.0,construct set test matric,aegerter ,paper develop equat properti set test matric use accuraci routin find invers determin eigenvalu matrix,1959-08-01
70,71.0,propos feasibl program system,bagley ,paper propos design involv digit assist scale real time capabl prepar varieti machin similar facil basic enough random access storag avail avoid necess segment fashion trivial one assumpt somewhat unrealist intend provid opportun concentr aspect system stress discoveri sourc statement mani error possibl attempt construct object among comput characterist advoc program interrupt scheme larg set charact indirect address,1959-08-01
71,72.0,educ program comput,hollingsworth ,,1959-08-01
72,73.0,real time data assimil,gschwind ,,1959-07-01
73,74.0,high speed sort procedur,shell ,,1959-07-01
74,75.0,paramet estim simpl nonlinear model,chow ,,1959-07-01
75,76.0,binari convers fix decim precis decim fraction,taranto ,,1959-07-01
76,77.0,gat construct translat,arden  graham ,,1959-07-01
77,78.0,remark practic solut characterist valu problem,wouk ,concern solut characterist ordinari differenti equat appar sequenti comput digit analog solv initi rather boundari valu process must find inadequaci compens machin imperfect cours normal activ numer analyst number paper appli devic purpos note establish mathemat framework model practic procedur thu assist use extens idea particular problem,1959-06-01
78,79.0,program machin extend address calcul mechan,schecher ,,1959-06-01
79,80.0,techniqu comput critic rotat speed flexibl shaft automat comput,schwartz ,,1959-06-01
80,81.0,norc high speed printer,gleissner ,,1959-06-01
81,82.0,handl identifi intern symbol languag processor,williams ,substitut comput programm orient symbol languag processor examin feasibl method present,1959-06-01
82,83.0,visit comput center soviet union,iii ,,1959-06-01
83,84.0,survey progress trend develop use automat data process busi manag control system feder govern decemb one thousand nine hundr fifti seven ii part two see ca five hundr nineti thousand four hundr six,,,1959-05-01
84,85.0,error analysi float point arithmet,iii ,,1959-05-01
85,86.0,survey progress trend develop use automat data process busi manag control system feder govern decemb one thousand nine hundr fifti seven,,,1959-04-01
86,87.0,note method gener point uniformli n dimension sphere,muller ,,1959-04-01
87,88.0,effici method gener uniformli distribut point surfac n dimension sphere,hicks  wheeling ,,1959-04-01
88,89.0,routin find solut simultan linear equat polynomi coeffici,larson  marshall ,,1959-04-01
89,90.0,binari arithmet discret variabl word length serial comput,ercoli  vacca ,,1959-04-01
90,91.0,mathemat procedur machin divis,gilman ,,1959-04-01
91,92.0,checklist intellig program system,bemer ,remark variat exist degre sophist program system particular manifest jungl assort reproduc limit procedur attempt begin systemat classif variou devic educ comput take decis make function one mani human oper demonstr feasibl date highli desir futur,1959-03-01
92,93.0,formula comput orient languag,wegstein ,techniqu show enabl translat simpl algebra formula three address comput code,1959-03-01
93,94.0,iter method fit logist curv,howell ,iter method give find logist curv best least squar fit set two dimension point,1959-03-01
94,95.0,elimin special function differenti equat,powers ,ordinari mathemat requir use subroutin electron comput tabular data numer solut hand calcul gener analog method appli sometim expand equival set contain practic satisfi suffici simpl differenti equat thu among elimin procedur invers trigonometr exponenti mani transcendent function,1959-03-01
95,96.0,comput radiat integr,hansen  bailin  rutishauser ,rel merit cost way typic radiat contain spheric bessel function investig method desk machin evalu finit seri integr appropri differenti reev electron analog litton forti ibm seven hundr four comput result gener applic separ helmholtz wave equat,1959-02-01
96,97.0,signal corp research develop automat program digit comput,luebbert  jr  ,,1959-02-01
