,.I,.T,.A,.W
0,1.0,problem concern make descript difficulti involv automat retriev approxim usual relev content articl titl,,problem concern make descript difficulti involv automat retriev approxim usual relev content articl titl
1,2.0,,,actual pertin data oppos refer entir articl retriev automat respons inform request
2,3.0,,,inform scienc give definit possibl
3,4.0,,,imag recognit method automat transform print text comput readi form
4,5.0,,,special train ordinari research businessmen need proper manag unobstruct use inform retriev system problem like encount
5,6.0,,,possibl verbal comput human commun via spoken word
6,7.0,describ present work plan system publish print origin paper comput save byproduct articl code data process form use retriev,,describ present work plan system publish print origin paper comput save byproduct articl code data process form use retriev
7,8.0,,,describ inform retriev index languag bear scienc gener
8,9.0,,,possibl automat grammat contextu analysi articl inclus inform retriev system
9,10.0,,,use abstract mathemat inform retriev e g group theori
10,11.0,need inform consolid evalu retriev scientif research,,need inform consolid evalu retriev scientif research
11,12.0,,,give method high speed public print distribut scientif journal
12,13.0,,,criterion develop object evalu inform retriev dissemin system
13,14.0,,,futur automat medic diagnosi
14,15.0,,,much inform retriev dissemin system well autom librari cost worth research industri
15,16.0,,,system incorpor multiprogram remot station inform retriev extent use futur
16,17.0,,,mean obtain larg volum high speed custom usabl inform retriev output
17,18.0,method encod match automat draw extend two dimens like structur formula chemic compound,,method encod match automat draw extend two dimens like structur formula chemic compound
18,19.0,machin match,,techniqu machin match machin search system code match method
19,20.0,,,test autom inform system
20,21.0,,,need provid personnel inform field
21,22.0,,,autom inform medic field
22,23.0,,,amount use book librari relat need autom inform system
23,24.0,,,educ requir personnel inform field possibl need program provid train
24,25.0,,,intern system exchang dissemin inform
25,26.0,,,determin cost associ system autom inform
26,27.0,computer system,,computer inform retriev system computer index system
27,28.0,,,computer inform system field relat chemistri
28,29.0,,,specif advantag computer index system
29,30.0,,,inform dissemin journal period
30,31.0,,,inform system physic scienc
31,32.0,,,attempt computer mechan librari problem method autom gener author titl index system
32,33.0,,,retriev system provid autom transmiss inform user distanc
33,34.0,,,method code use computer index system
34,35.0,govern support agenc project deal inform dissemin,,govern support agenc project deal inform dissemin
35,36.0,,,theori practic comput text one nation anoth machin compet tradit method translat comprehend nuanc mean languag differ structur
36,37.0,index classifi avail term descript vocabulari particular field schedul word relat mean scheme want list test least extent find use organ materi retriev,,index classifi avail term descript vocabulari particular field schedul word relat mean scheme want list test least extent find use organ materi retriev
37,38.0,,,access inform retriev keep date mean usag often chang list must dynam current definit problem progress toward solut make provid necessari flexibl system subject head index word symbol use get store data
38,39.0,,,progress retriev present problem maladjust disloc personnel train retrain peopl equip import level librarian assist technician student research even execut need educ purpos valu use inform system hardwar program develop chang attitud skill tradit worker help learn new techniqu
39,40.0,,,statu machin translat progress make use comput transfer one languag anoth degre autom problem stumbl block find consid insurmount limit challeng field document intern scale
40,41.0,form,,consid use tool in retriev studi do compar effect organ scheme gener accept form arrang materi alphabet order easi way achiev form without go great amount effort
41,42.0,averag student research difficulti comprehend vocabulari appear new field understood fulli accept basic articl would provid understand variou import aspect inform storag retriev,,averag student research difficulti comprehend vocabulari appear new field understood fulli accept basic articl would provid understand variou import aspect inform storag retriev
42,43.0,difficulti encount inform retriev system often less relat use failur plan adequ document analysi index machin code posit programm take problem way equip understand articl write describ research maxim effect program,,difficulti encount inform retriev system often less relat use failur plan adequ document analysi index machin code posit programm take problem way equip understand articl write describ research maxim effect program
43,44.0,,,present fifti hundr averag new day mani journal publish one two million articl appear everi year attempt make cope amount scientif technic public term analysi control storag retriev
44,45.0,look impact signific gener includ increas import view prolifer inform today help cope problem affect librari react idea autom,,look impact signific gener includ increas import view prolifer inform today help cope problem affect librari react idea autom
45,46.0,seek inform use data mechan routin process procedur would like gener specif applic autom area circul catalog acquisit serial record keep exampl base convent practic special could also appli public univers librari give descript equip oper present project,,seek inform use data mechan routin process procedur would like gener specif applic autom area circul catalog acquisit serial record keep exampl base convent practic special could also appli public univers librari give descript equip oper present project
46,47.0,,,establish mean present take form agenc center regularli distribut inform retriev method research result way materi cross nation boundari seem block well intern exchang effort make solv problem
47,48.0,,,new experiment line distinguish practic often difficult even imposs draw howev actual center countri locat support govern busi univers special disciplin say emerg still amalgam skill field mathemat engin librari scienc word tell inform retriev research
48,49.0,,,resourc spend appli physic medic use natur social scienc human problem encount solv characterist subject necessit develop new inform retriev techniqu prospct futur machin control area
49,50.0,use classif system appear suit machin scheme,,use tradit classif ddc udc lc etc inform retriev system appear suit machin use appli classif scheme irrelev research show subject classif knowledg complet unnecessari machin system new scheme devi appear suit machin use
50,51.0,,,coordin util control languag construct index descriptor use search inform retriev system
51,52.0,medlar medic system project index major,,characterist medlar medic literatur analysi retriev system project undertaken nation librari medicin index current medic journal relat index system index medicu major compon medlar project major oper detail
52,53.0,comput clinic record purpos autom medicin use,,comput medic scienc diagnost clinic record keep purpos program autom tri hospit result problem encount autom medicin purpos autom system clinic record use possibl use comput medicin
